,zip,rating
232,29565,4.0
233,29566,6.6
234,29567,0.0
235,29568,0.0
236,29569,3.8
237,29570,4.5
238,29571,3.4
239,29572,6.4
240,29574,3.2
241,29575,7.5
242,29576,7.8
243,29577,6.6
244,29579,6.9
245,29580,0.0
246,29581,0.0
247,29582,7.0
248,29583,3.0
249,29584,0.0
250,29585,6.2
251,29588,7.4
252,29590,0.0
253,29591,3.0
254,29592,0.0
255,29593,2.0
256,29596,3.0
257,29601,5.3
258,29605,4.9
259,29607,5.7
260,29609,5.8
261,29611,4.6
262,29613,5.1
263,29614,5.9
264,29615,6.6
265,29617,4.9
266,29620,7.0
267,29621,5.3
268,29624,4.2
269,29625,6.0
270,29626,4.2
271,29627,5.6
272,29628,6.0
273,29630,5.9
274,29631,6.3
275,29632,6.3
276,29634,6.3
277,29635,0.0
278,29638,6.0
279,29639,7.0
280,29640,5.9
281,29642,6.2
282,29643,4.0
283,29644,6.2
284,29645,5.0
285,29646,4.0
286,29647,3.8
287,29649,3.6
288,29650,6.9
289,29651,8.1
290,29653,4.3
291,29654,5.3
292,29655,5.0
293,29657,5.0
294,29658,0.0
295,29661,0.0
296,29662,6.4
297,29664,0.0
298,29666,5.2
299,29667,5.4
300,29669,5.5
301,29670,6.8
302,29671,5.3
303,29672,5.3
304,29673,5.1
305,29676,5.5
306,29678,5.0
307,29680,6.1
308,29681,6.8
309,29682,7.0
310,29684,5.8
311,29685,0.0
312,29686,7.0
313,29687,7.0
314,29689,8.0
315,29690,8.5
316,29691,5.2
317,29692,4.3
318,29693,5.0
319,29695,4.3
320,29696,5.3
321,29697,6.4
322,29698,2.0
323,29702,4.0
324,29704,5.0
325,29706,2.2
326,29707,7.8
327,29708,8.1
328,29709,4.5
329,29710,7.2
330,29712,6.0
331,29714,6.0
332,29715,8.8
333,29717,5.0
334,29718,4.0
335,29720,3.0
336,29722,3.0
337,29726,0.0
338,29727,0.0
339,29728,4.0
340,29729,6.0
341,29730,4.7
342,29732,5.7
343,29733,4.7
344,29734,4.7
345,29741,6.0
346,29742,0.0
347,29743,0.0
348,29745,4.4
349,29801,4.1
350,29803,5.5
351,29805,3.0
352,29808,0.0
353,29809,4.8
354,29810,1.3
355,29812,3.3
356,29817,2.2
357,29819,0.0
358,29821,5.0
359,29824,8.0
360,29827,0.0
361,29828,4.0
362,29829,4.0
363,29831,4.0
364,29832,4.0
365,29835,2.0
366,29836,0.0
367,29838,0.0
368,29840,0.0
369,29841,4.7
370,29842,4.3
371,29843,0.0
372,29845,0.0
373,29847,3.5
374,29848,0.0
375,29849,0.0
376,29851,4.1
377,29853,3.3
378,29856,0.0
379,29860,4.5
380,29899,2.0
381,29902,5.7
382,29906,3.9
383,29907,4.8
384,29909,6.5
385,29910,6.0
386,29911,0.0
387,29912,0.0
388,29915,0.0
389,29916,0.0
390,29918,1.7
391,29920,2.0
392,29922,0.0
393,29924,4.2
394,29926,4.8
395,29927,8.0
396,29928,4.8
397,29929,2.0
398,29932,0.0
399,29934,0.0
400,29935,4.6
401,29936,5.0
402,29940,2.5
403,29941,3.3
404,29943,0.0
405,29944,4.0
406,29945,0.0
