Zip,City,Robbery,Violent Crime,Murder & Manslaughter,Forcible Rape,Aggravated Assault,Property Crime,Burglary,Larceny & Theft,Motor Vehicle Theft,Arson,Total
29654,Honea Path SC,3,39,0,2,34,235,69,150,16,2,274
29655,Iva SC,0,0,0,0,0,13,1,12,0,0,13
29657,Liberty SC,1,8,0,1,6,124,16,103,5,0,132
29662,Mauldin SC,15,92,1,5,71,545,70,427,48,5,637
29666,Ninety Six SC,0,13,0,0,13,28,4,22,2,1,41
29669,West Pelzer SC,1,2,0,0,1,9,3,6,0,0,11
29669,Williamston SC,12,24,0,1,11,141,23,109,9,5,165
29670,Clemson SC,5,30,0,8,17,334,91,225,18,0,364
29671,Pickens SC,3,20,0,0,17,171,28,139,4,1,191
29672,Seneca SC,8,70,0,3,59,541,67,441,33,1,611
29676,Salem SC,0,0,0,0,0,0,0,0,0,0,0
29678,Seneca SC,8,70,0,3,59,541,67,441,33,1,611
29680,Fountain Inn SC,11,44,0,2,31,178,28,141,9,0,222
29680,Mauldin SC,15,92,1,5,71,545,70,427,48,5,637
29680,Simpsonville SC,17,177,0,9,151,818,94,675,49,3,995
29681,Fountain Inn SC,11,44,0,2,31,178,28,141,9,0,222
29681,Mauldin SC,15,92,1,5,71,545,70,427,48,5,637
29681,Simpsonville SC,17,177,0,9,151,818,94,675,49,3,995
29687,Greer SC,25,69,1,4,39,812,185,543,84,2,881
29690,Travelers Rest SC,8,18,0,0,10,219,22,188,9,1,237
29691,Walhalla SC,7,31,0,2,22,132,26,102,4,0,163
29692,Ware Shoals SC,0,11,0,0,11,110,23,80,7,0,121
29693,Westminster SC,9,27,0,0,18,94,25,66,3,1,121
29696,Walhalla SC,7,31,0,2,22,132,26,102,4,0,163
29697,Williamston SC,12,24,0,1,11,141,23,109,9,5,165
29702,Blacksburg SC,4,24,0,0,20,178,32,138,8,1,202
29706,Chester SC,12,97,0,1,84,298,92,184,22,2,395
29708,Fort Mill SC,4,61,2,0,55,256,36,204,16,5,317
29708,Tega Cay SC,0,4,0,0,4,44,14,30,0,0,48
29709,Chesterfield SC,8,14,0,0,6,57,10,45,2,0,71
29710,Clover SC,6,166,0,3,157,211,36,166,9,3,377
29714,Fort Lawn SC,1,14,0,1,12,72,18,50,4,0,86
29715,Fort Mill SC,4,61,2,0,55,256,36,204,16,5,317
29720,Elgin SC,0,4,0,1,3,52,6,45,1,0,56
29720,Lancaster SC,23,166,1,7,135,733,207,484,42,2,899
29720,Springdale SC,4,10,0,0,6,99,15,79,5,0,109
29728,Pageland SC,3,59,4,2,50,193,26,162,5,0,252
29730,Rock Hill SC,124,798,3,20,651,2921,503,2208,210,25,3719
29732,Rock Hill SC,124,798,3,20,651,2921,503,2208,210,25,3719
29733,Rock Hill SC,124,798,3,20,651,2921,503,2208,210,25,3719
29745,York SC,12,108,1,5,90,325,61,239,25,1,433
29801,Aiken SC,26,159,2,13,118,1284,227,987,70,1,1443
29803,Aiken SC,26,159,2,13,118,1284,227,987,70,1,1443
29803,New Ellenton SC,3,11,0,2,6,72,23,41,8,0,83
29809,New Ellenton SC,3,11,0,2,6,72,23,41,8,0,83
29810,Allendale SC,6,83,1,0,76,161,72,83,6,0,244
29812,Barnwell SC,4,55,0,2,49,327,91,229,7,2,382
29817,Blackville SC,3,11,0,0,8,57,21,36,0,0,68
29824,Edgefield SC,1,16,2,0,13,58,11,39,8,1,74
29827,Fairfax SC,7,22,1,4,10,41,17,21,3,1,63
29829,Burnettown SC,0,8,0,1,7,18,2,15,1,0,26
29831,Jackson SC,0,5,0,1,4,57,20,30,7,0,62
29832,Johnston SC,3,18,0,1,14,92,22,63,7,0,110
29835,McCormick SC,5,23,0,0,18,72,8,57,7,1,95
29841,Burnettown SC,0,8,0,1,7,18,2,15,1,0,26
29841,North Augusta SC,26,53,0,7,20,950,111,742,97,10,1003
29842,Burnettown SC,0,8,0,1,7,18,2,15,1,0,26
29842,North Augusta SC,26,53,0,7,20,950,111,742,97,10,1003
29847,Edgefield SC,1,16,2,0,13,58,11,39,8,1,74
29851,Aiken SC,26,159,2,13,118,1284,227,987,70,1,1443
29851,Burnettown SC,0,8,0,1,7,18,2,15,1,0,26
29853,Williston SC,4,18,1,0,13,146,44,100,2,1,164
29860,North Augusta SC,26,53,0,7,20,950,111,742,97,10,1003
29899,McCormick SC,5,23,0,0,18,72,8,57,7,1,95
29902,Beaufort SC,35,146,0,2,109,852,140,669,43,1,998
29902,Port Royal SC,10,20,1,1,8,250,31,210,9,0,270
29906,Beaufort SC,35,146,0,2,109,852,140,669,43,1,998
29906,Port Royal SC,10,20,1,1,8,250,31,210,9,0,270
29907,Beaufort SC,35,146,0,2,109,852,140,669,43,1,998
29907,Port Royal SC,10,20,1,1,8,250,31,210,9,0,270
29909,Bluffton SC,10,51,0,0,41,348,52,279,17,4,399
