zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
29067,STANDARD,0,Kershaw,,"Abney, Spring Mills, Taxahaw, White Bluff",SC,Lancaster County,America/New_York,803,NA,US,34.54,-80.58,7110
29069,STANDARD,0,Lamar,,"Cypress Crossroads, Oats",SC,Darlington County,America/New_York,843,NA,US,34.16,-80.06,4030
29070,STANDARD,0,Leesville,"Batesburg-leesville, Batsbrg-levil","Delmar, Fairview Crossroads, Lake Murray Shores, Steedman, Summit",SC,Lexington County,America/New_York,803,NA,US,33.91,-81.51,13770
29072,STANDARD,0,Lexington,,"Barr, Edmund, Macedon, Red Bank",SC,Lexington County,America/New_York,803,NA,US,33.98,-81.22,55220
29073,STANDARD,0,Lexington,,,SC,Lexington County,America/New_York,803,NA,US,33.89,-81.24,39690
29075,STANDARD,0,Little Mountain,Little Mtn,,SC,Newberry County,America/New_York,803,NA,US,34.19,-81.41,2790
29078,STANDARD,0,Lugoff,,,SC,Kershaw County,America/New_York,803,NA,US,34.22,-80.68,14800
29080,STANDARD,0,Lynchburg,,"Atkins, Motbridge, Shiloh, South Lynchburg",SC,Lee County,America/New_York,803,NA,US,34.05,-80.07,2550
29081,STANDARD,0,Ehrhardt,,,SC,Bamberg County,America/New_York,803,NA,US,33.09,-81.01,990
29082,STANDARD,0,Lodge,,,SC,Colleton County,America/New_York,843,NA,US,33.06,-80.95,460
29101,STANDARD,0,Mc Bee,,"Clyde, Mcbee, Robinson",SC,Chesterfield County,America/New_York,843,NA,US,34.46,-80.25,2700
29102,STANDARD,0,Manning,Paxville,"Bloomville, Foreston, Jordan, Wilson",SC,Clarendon County,America/New_York,803,NA,US,33.69,-80.21,14630
29104,STANDARD,0,Mayesville,Saint Charles,Scottsville,SC,Sumter County,America/New_York,803,NA,US,33.98,-80.2,1340
29105,STANDARD,0,Monetta,,"Hibernia, Jones Crossroads, Watsonia",SC,Aiken County,America/New_York,803,NA,US,33.84,-81.61,1500
29107,STANDARD,0,Neeses,Livingston,,SC,Orangeburg County,America/New_York,803,NA,US,33.53,-81.12,2430
29108,STANDARD,0,Newberry,,,SC,Newberry County,America/New_York,803,NA,US,34.27,-81.61,17880
29111,STANDARD,0,New Zion,,"Oak Dale, Oakdale, Union Crossroads, Workman",SC,Clarendon County,America/New_York,,NA,US,33.77,-80.01,1290
29112,STANDARD,0,North,,,SC,Orangeburg County,America/New_York,803,NA,US,33.61,-81.1,3710
29113,STANDARD,0,Norway,,,SC,Orangeburg County,America/New_York,803,NA,US,33.44,-81.12,1210
29114,STANDARD,0,Olanta,,Mckenzie Crossroads,SC,Florence County,America/New_York,843,NA,US,33.93,-79.93,1700
29115,STANDARD,0,Orangeburg,,"Bolen Town, Jamison, Pecan Way Terrace",SC,Orangeburg County,America/New_York,803,NA,US,33.49,-80.86,21330
