,Cost of Single Family Home,Zip,Rental Value 2016,Ratio,Normalized Ratio
112,208300,29325,738,0.003542966874699952,0.8573979836773884
113,91900,29330,0,0.0,0.0
114,208300,29332,569,0.002731637061929909,0.661056168987038
115,157600,29334,894,0.005672588832487309,1.372766497461929
116,97600,29335,644,0.006598360655737705,1.5968032786885245
117,81100,29340,648,0.007990135635018495,1.9336128236744758
118,107500,29341,678,0.006306976744186047,1.5262883720930234
119,151600,29349,767,0.005059366754617415,1.2243667546174144
120,208300,29351,546,0.0026212193951032164,0.6343350936149783
121,208300,29353,566,0.0027172347575612097,0.6575708113298128
122,208300,29355,703,0.0033749399903984637,0.8167354776764282
123,166700,29356,703,0.004217156568686263,1.0205518896220755
124,208300,29360,653,0.0031349015842534805,0.7586461833893423
125,148400,29365,820,0.005525606469002696,1.3371967654986523
126,163900,29369,905,0.005521659548505186,1.3362416107382549
127,208300,29370,879,0.004219875180028805,1.0212097935669708
128,87300,29372,583,0.0066781214203894615,1.6161053837342496
129,151200,29374,883,0.0058399470899470896,1.4132671957671956
130,153100,29376,779,0.005088177661659046,1.2313389941214892
131,208300,29379,596,0.0028612578012481996,0.6924243879020643
132,173000,29384,722,0.0041734104046242775,1.009965317919075
133,110100,29385,712,0.006466848319709355,1.564977293369664
134,208300,29390,0,0.0,0.0
135,208300,29391,0,0.0,0.0
136,208300,29395,0,0.0,0.0
137,1506800,29401,1568,0.0010406158747013538,0.2518290416777276
138,412600,29403,986,0.0023897237033446437,0.5783131362094037
139,131900,29405,830,0.0062926459438968916,1.5228203184230478
140,303100,29407,983,0.0032431540745628505,0.7848432860442098
141,208300,29409,982,0.00471435429668747,1.1408737397983677
142,229300,29410,984,0.004291321412996075,1.03849978194505
143,336600,29412,0,0.0,0.0
144,208300,29418,905,0.0043446951512241955,1.0514162265962552
145,181600,29420,1038,0.005715859030837004,1.383237885462555
146,208300,29424,0,0.0,0.0
147,208300,29425,0,0.0,0.0
148,208300,29426,801,0.003845415266442631,0.9305904944791167
149,392400,29429,760,0.0019367991845056064,0.46870540265035676
150,154400,29431,734,0.004753886010362694,1.150440414507772
151,78900,29432,504,0.006387832699619772,1.545855513307985
152,208300,29434,957,0.004594335093614978,1.1118290926548247
153,115700,29435,829,0.007165082108902334,1.7339498703543648
154,136800,29436,702,0.005131578947368421,1.2418421052631579
155,158400,29437,650,0.004103535353535354,0.9930555555555557
156,208300,29446,0,0.0,0.0
157,153500,29448,717,0.00467100977198697,1.1303843648208467
158,319000,29449,948,0.002971786833855799,0.7191724137931034
159,217900,29450,1001,0.004593850390087196,1.1117117944011015
160,888200,29451,0,0.0,0.0
161,208300,29453,732,0.003514162265962554,0.850427268362938
162,169400,29456,1085,0.00640495867768595,1.55
163,274100,29458,907,0.0033090113097409704,0.8007807369573149
164,202400,29461,867,0.004283596837944664,1.0366304347826087
165,490500,29464,1401,0.002856269113149847,0.691217125382263
166,455400,29466,1647,0.003616600790513834,0.8752173913043478
167,148600,29468,580,0.0039030955585464336,0.944549125168237
168,208300,29469,630,0.0030244839174267883,0.7319251080172827
169,137600,29471,661,0.004803779069767442,1.162514534883721
170,184700,29472,817,0.004423389279913373,1.0704602057390362
171,208300,29474,583,0.002798847815650504,0.677321171387422
172,208300,29475,553,0.002654824771963514,0.6424675948151704
