,Unnamed: 0,Cost of Single Family Home,Zip Code,Rental Prices,Rental Value 2016
237,237,133800.0,29625,0.0,760
238,238,111000.0,29626,0.0,761
239,239,93800.0,29627,0.0,622
240,240,208300.0,29628,0.0,616
241,241,143300.0,29630,0.0,715
242,242,224700.0,29631,0.0,897
243,243,208300.0,29632,0.0,0
244,244,208300.0,29634,0.0,879
245,245,208200.0,29635,0.0,0
246,246,208300.0,29638,0.0,741
247,247,208300.0,29639,0.0,755
248,248,133700.0,29640,0.0,725
249,249,182600.0,29642,0.0,818
250,250,181000.0,29643,0.0,772
251,251,154800.0,29644,0.0,827
252,252,133600.0,29645,0.0,730
253,253,74000.0,29646,0.0,661
254,254,208300.0,29647,0.0,0
255,255,116900.0,29649,0.0,714
256,256,218300.0,29650,1512.5,947
257,257,170800.0,29651,0.0,739
258,258,208300.0,29653,0.0,631
259,259,90200.0,29654,0.0,587
260,260,75200.0,29655,0.0,731
261,261,126900.0,29657,0.0,738
262,262,208300.0,29658,0.0,0
263,263,140800.0,29661,0.0,623
264,264,172700.0,29662,0.0,896
265,265,139300.0,29664,0.0,561
266,266,208300.0,29666,0.0,655
267,267,208300.0,29667,0.0,396
268,268,120600.0,29669,0.0,652
269,269,132500.0,29670,0.0,601
270,270,143600.0,29671,0.0,682
271,271,239400.0,29672,0.0,838
272,272,144800.0,29673,0.0,759
273,273,239900.0,29676,0.0,757
274,274,136700.0,29678,0.0,727
275,275,193200.0,29680,1520.0,984
276,276,232200.0,29681,1595.0,"1,026"
277,277,216100.0,29682,0.0,609
278,278,82500.0,29684,0.0,641
279,279,629800.0,29685,0.0,0
280,280,208300.0,29686,0.0,350
281,281,170800.0,29687,1295.0,780
282,282,168900.0,29689,0.0,724
283,283,179000.0,29690,0.0,734
284,284,130200.0,29691,0.0,665
285,285,208300.0,29692,0.0,718
286,286,137800.0,29693,0.0,636
287,287,208300.0,29695,0.0,0
288,288,154900.0,29696,0.0,870
289,289,119300.0,29697,0.0,699
290,290,208300.0,29698,0.0,0
291,291,93400.0,29702,0.0,668
292,292,170100.0,29704,0.0,537
293,293,208300.0,29706,0.0,581
294,294,278800.0,29707,0.0,"1,279"
295,295,320200.0,29708,1900.0,"1,191"
296,296,204600.0,29710,0.0,956
297,297,208300.0,29712,0.0,955
298,298,208300.0,29714,0.0,691
299,299,225400.0,29715,0.0,953
300,300,136900.0,29717,0.0,502
301,301,208300.0,29718,0.0,495
302,302,121700.0,29720,0.0,667
303,303,208300.0,29722,0.0,0
304,304,154900.0,29726,0.0,864
305,305,112400.0,29729,0.0,715
306,306,147300.0,29730,0.0,0
307,307,185700.0,29732,1125.0,0
308,308,208300.0,29733,0.0,0
309,309,208300.0,29734,0.0,0
310,310,135200.0,29742,0.0,632
311,311,130400.0,29743,0.0,697
312,312,170700.0,29745,0.0,809
313,313,94700.0,29801,0.0,768
314,314,156900.0,29803,0.0,908
315,315,107800.0,29805,0.0,617
316,316,208300.0,29808,0.0,0
317,317,71100.0,29809,0.0,682
318,318,208300.0,29810,0.0,568
319,319,208300.0,29812,0.0,671
320,320,208300.0,29817,0.0,556
321,321,208300.0,29819,0.0,545
322,322,208300.0,29821,0.0,594
323,323,208300.0,29824,0.0,593
324,324,208300.0,29827,0.0,626
325,325,208300.0,29828,0.0,335
326,326,116400.0,29829,0.0,634
327,327,86400.0,29831,0.0,627
328,328,208300.0,29835,0.0,482
329,329,208300.0,29836,0.0,775
330,330,208300.0,29838,0.0,0
331,331,208300.0,29840,0.0,0
332,332,113400.0,29841,900.0,746
333,333,208300.0,29843,0.0,695
334,334,208300.0,29845,0.0,523
335,335,208300.0,29847,0.0,859
336,336,208300.0,29848,0.0,541
337,337,208300.0,29849,0.0,594
338,338,77500.0,29851,0.0,685
339,339,208300.0,29853,0.0,572
340,340,80600.0,29856,0.0,683
341,341,208300.0,29899,0.0,0
342,342,283800.0,29909,0.0,"1,269"
343,343,293000.0,29910,1697.5,0
344,344,208300.0,29911,0.0,646
345,345,208300.0,29912,0.0,0
346,346,546600.0,29915,0.0,0
347,347,208300.0,29916,0.0,822
348,348,208300.0,29918,0.0,589
349,349,208300.0,29922,0.0,487
350,350,208300.0,29924,0.0,624
351,351,448600.0,29926,0.0,"1,120"
352,352,147400.0,29927,0.0,921
353,353,755700.0,29928,0.0,"1,200"
354,354,208300.0,29929,0.0,841
355,355,171800.0,29935,0.0,980
356,356,208300.0,29936,0.0,0
357,357,230300.0,29940,0.0,872
358,358,208300.0,29941,0.0,0
359,359,208300.0,29943,0.0,0
360,360,208300.0,29944,0.0,612
361,361,208300.0,29945,0.0,0
