,zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015,job_growth_per
269,29625,STANDARD,0,Anderson,,And,SC,Anderson County,America/New_York,864,,US,34.56,-82.76,23360,2.5
270,29626,STANDARD,0,Anderson,,And,SC,Anderson County,America/New_York,864,,US,34.46,-82.76,10910,2.5
271,29627,STANDARD,0,Belton,,,SC,Anderson County,America/New_York,864,,US,34.52,-82.49,15110,2.5
272,29628,STANDARD,0,Calhoun Falls,,,SC,Abbeville County,America/New_York,864,,US,34.09,-82.59,2000,2.5
273,29630,STANDARD,0,Central,,,SC,Pickens County,America/New_York,864,,US,34.72,-82.78,9690,2.5
274,29631,STANDARD,0,Clemson,,,SC,Pickens County,America/New_York,864,,US,34.68,-82.81,7680,2.5
275,29632,UNIQUE,0,Clemson,,Clemson University,SC,Pickens County,America/New_York,864,,US,34.68,-82.81,103,2.5
276,29634,UNIQUE,0,Clemson,,Clemson University,SC,Pickens County,America/New_York,864,,US,34.68,-82.84,34,2.5
277,29635,STANDARD,0,Cleveland,,,SC,Greenville County,America/New_York,864,,US,35.08,-82.63,1090,2.5
278,29638,STANDARD,0,Donalds,"Shoals Jct, Shoals Junction",,SC,Abbeville County,America/New_York,864,,US,34.37,-82.34,2360,2.5
279,29639,STANDARD,0,Due West,,,SC,Abbeville County,America/New_York,864,,US,34.33,-82.38,1120,2.5
280,29640,STANDARD,0,Easley,,,SC,Pickens County,America/New_York,864,,US,34.88,-82.58,26310,2.5
281,29642,STANDARD,0,Easley,Powdersville,Piedmont,SC,Pickens County,America/New_York,864,,US,34.82,-82.58,29500,2.5
282,29643,STANDARD,0,Fair Play,,,SC,Oconee County,America/New_York,864,,US,34.51,-82.98,2280,2.5
283,29644,STANDARD,0,Fountain Inn,,,SC,Greenville County,America/New_York,864,,US,34.69,-82.2,17470,2.5
284,29645,STANDARD,0,Gray Court,,Ora,SC,Laurens County,America/New_York,864,,US,34.6,-82.11,8900,2.5
285,29646,STANDARD,0,Greenwood,,Gwd,SC,Greenwood County,America/New_York,864,,US,34.19,-82.15,23560,2.5
286,29647,UNIQUE,0,Greenwood,,"Gwd, Park Seed Co",SC,Greenwood County,America/New_York,864,,US,34.19,-82.15,0,2.5
287,29649,STANDARD,0,Greenwood,,Gwd,SC,Greenwood County,America/New_York,864,,US,34.24,-82.15,23170,2.5
288,29650,STANDARD,0,Greer,,,SC,Greenville County,America/New_York,864,,US,34.9,-82.26,33020,2.5
289,29651,STANDARD,0,Greer,,,SC,Greenville County,America/New_York,864,,US,34.93,-82.23,41320,2.5
290,29653,STANDARD,0,Hodges,,,SC,Greenwood County,America/New_York,864,,US,34.28,-82.24,4010,2.5
291,29654,STANDARD,0,Honea Path,,,SC,Anderson County,America/New_York,864,,US,34.44,-82.39,8270,2.5
292,29655,STANDARD,0,Iva,,,SC,Anderson County,America/New_York,864,,US,34.3,-82.66,5770,2.5
293,29657,STANDARD,0,Liberty,,,SC,Pickens County,America/New_York,864,,US,34.79,-82.69,12720,2.5
294,29658,STANDARD,0,Long Creek,,,SC,Oconee County,America/New_York,864,,US,34.77,-83.25,270,2.5
295,29661,STANDARD,0,Marietta,,,SC,Greenville County,America/New_York,,,US,35.03,-82.49,4720,2.5
296,29662,STANDARD,0,Mauldin,,,SC,Greenville County,America/New_York,864,,US,34.78,-82.3,14010,2.5
297,29664,STANDARD,0,Mountain Rest,,,SC,Oconee County,America/New_York,864,,US,34.86,-83.15,1270,2.5
298,29666,STANDARD,0,Ninety Six,,,SC,Greenwood County,America/New_York,864,,US,34.17,-82.02,5600,2.5
299,29667,STANDARD,0,Norris,Cateechee,,SC,Pickens County,America/New_York,864,,US,34.76,-82.75,370,2.5
300,29669,STANDARD,0,Pelzer,,,SC,Anderson County,America/New_York,864,,US,34.64,-82.46,10630,2.5
