Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201803,29909,"Okatie, SC",Single Family Home,,334495,-0.013,-0.0128,328.5,0.0077,-0.1012,83.5,-0.0291,-0.0511,82,-0.1087,-0.2407,2,-0.5,,94,0.5667,0.175,173,0.1729,9.8125,452876,-0.0036,0.0932,501.5,0.0591,0.3145,0.5266,0.0742,0.4829
201803,29910,"Bluffton, SC",Single Family Home,,438550,-0.0244,0.0826,432,0.0397,0.0058,81,-0.1671,-0.1518,144,0.1077,0,16,-0.1111,3,126,0.2115,-0.0597,230.5,0.263,6.2031,616235,-0.0561,0.0555,662.5,0.1079,0.4355,0.5336,0.0943,0.4591
201803,29915,"Daufuskie Island, SC",Single Family Home,*,534725,0,,42,-0.0562,-0.2294,236,0.0607,-0.2281,6,0.5,0,0,,,2,,0,3,0,2,705879,-0.0256,-0.021,45,-0.0526,-0.1892,0.0714,0.004,0.0531
201803,29920,"Saint Helena Island, SC",Single Family Home,*,472500,-0.0026,,271.5,0.0363,,177.75,-0.0838,,46,0.3529,0.6429,0,-1,,42,0.2353,1.1,42.5,0.1644,0.4167,591582,0.0246,0.1156,314,0.0519,0.2147,0.1565,0.0172,0.0252
201803,29924,"Hampton, SC",Single Family Home,,94300,0.0385,0.0472,40.5,-0.0581,0.3065,107.5,0.2952,-0.4658,2,-0.6667,0,0,,,8,0.3333,3,4,0.3333,0.3333,118934,0.0198,0.1084,44.5,-0.0326,0.3088,0.0988,0.029,0.002
201803,29926,"Hilton Head Island, SC",Single Family Home,,541225,-0.0143,0.0559,324.5,0.0172,0.1426,108.75,-0.09,-0.2448,82,0.2059,0.1389,4,-0.5,1,96,0.2632,0.7778,108,0.2706,71,685685,0.065,0.1291,432.5,0.0705,0.5149,0.3328,0.0664,0.3275
201803,29927,"Hardeeville, SC",Single Family Home,,415050,0.0002,0.4221,23,-0.0213,-0.4177,129,0.0058,-0.0719,6,0.5,0,0,,,2,0,0,9,0,8,593941,-0.0115,0.8837,32,-0.0154,-0.2099,0.3913,0.0083,0.366
201803,29928,"Hilton Head Island, SC",Single Family Home,*,746550,0.015,-0.0099,467,0.0343,,153,-0.0685,-0.2388,76,-0.0952,-0.0952,4,0,-0.3333,90,0.2162,-0.25,101.5,0.3624,32.8333,1034988,0.0372,0.0529,568.5,0.0808,0.1795,0.2173,0.0523,0.2111
201803,29935,"Port Royal, SC",Single Family Home,*,315050,0.1614,-0.125,17.5,-0.0278,0.5217,95.5,-0.1239,,4,0,1,0,,,4,,,6,-0.0769,0.3333,437076,0.0483,0.0677,23.5,-0.0408,0.4688,0.3429,-0.0183,-0.0484
201803,29936,"Ridgeland, SC",Single Family Home,*,249050,0.0232,0.2723,88,-0.0881,-0.102,115.5,-0.0086,,10,-0.6667,-0.6875,4,,1,16,-0.1111,-0.1111,48.5,0.3662,1.7714,397692,0.0719,0.3713,136.5,0.0341,0.1818,0.5511,0.1833,0.3726
201803,29940,"Seabrook, SC",Single Family Home,*,606200,0.1901,,17.5,0.2963,,84.25,-0.1447,,4,1,,0,,,2,,,3.5,0.1667,-0.2222,664920,0.0313,0.2215,21,0.2727,0.3548,0.2,-0.0222,-0.2091
